File;Line;Severity;Rule;Description
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\cli\daemon_cleaner.cpp;8;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\cli\daemon_cleaner.cpp;13;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\cli\daemon_cleaner.cpp;19;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\cli\daemon_cleaner.cpp;25;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\cli\daemon_cleaner.cpp;30;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\UMS\src\cli\daemon_cleaner.cpp;139;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\database\DbConfiguration.cpp;12;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\src\database\DbFactory.cpp;19;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\test\src\diet_fixtures.hpp;55;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\core\test\src\diet_fixtures.hpp;350;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\displayer.cpp;47;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\displayer.cpp;89;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\displayer.cpp;91;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\displayer.cpp;93;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\displayer.cpp;95;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\cli\displayer.cpp;97;Required;MISRA_6_4_5;Throw or break in switch clauses
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\client\ExporterProxy.cpp;28;Required;MISRA_8_4_3;Explicit return statement
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\IMS\src\server\data\ExportFactory.cpp;17;Required;MISRA_0_1_1;Unreachable code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;67;Required;MISRA_18_0_4;Time handling functions
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;75;Required;MISRA_18_0_4;Time handling functions
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;88;Required;MISRA_18_0_4;Time handling functions
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;105;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;110;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;119;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;124;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;129;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;134;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;139;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;144;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;149;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;154;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;159;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;164;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;191;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\File.cpp;199;Required;MISRA_6_4_1;Compound statement for if
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\FileFactory.cpp;42;Advisory;MISRA_2_7_3;Commented out sections of code
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\FileFactory.cpp;48;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\FileFactory.cpp;49;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\FileFactory.cpp;50;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\server\FileFactory.cpp;51;Required;MISRA_0_1_3;Unused variables
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\FileProxy.cpp;143;Required;MISRA_18_0_4;Time handling functions
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\FileProxy.cpp;156;Required;MISRA_18_0_4;Time handling functions
C:\DemoSQuoRE\C++\SysFera\VISHNU\VISHNU_1.2.0\FMS\src\client\FileProxy.cpp;173;Required;MISRA_18_0_4;Time handling functions
